CLASSIFICAÇÃO;CNPJ;EMPRESA;CNPJ DATA;PORTE;COD. NATUREZA JURIDICA;CNAE;PORTARIA;DOU DATA;DESCRICAO;CAMPO;SECAO;DIVISAO;GRUPO;UF
EED;10.524.120/0001-41;ACRUX LTDA;17/11/2008;ME;206-2;71.12-0-00;2340;06/05/2024;Serviços de engenharia;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;M;71;71.1;SP
EED;10.524.120/0001-41;ACRUX LTDA;17/11/2008;ME;206-2;46.69-9-99;2340;06/05/2024;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";G;46;46.6;SP
EED;10.524.120/0001-41;ACRUX LTDA;17/11/2008;ME;206-2;85.50-3-02;2340;06/05/2024;Atividades de apoio à educação;EDUCAÇÃO;P;85;85.5;SP
EED;10.524.120/0001-41;ACRUX LTDA;17/11/2008;ME;206-2;26.51-5-00;2340;06/05/2024;Fabricação de aparelhos e equipamentos de medida, teste e controle;INDÚSTRIAS DE TRANSFORMAÇÃO;C;26;26.5;SP
EED;10.524.120/0001-41;ACRUX LTDA;17/11/2008;ME;206-2;32.99-0-99;2340;06/05/2024;Fabricação de produtos diversos não especificados anteriormente;INDÚSTRIAS DE TRANSFORMAÇÃO;C;32;32.9;SP
EED;10.524.120/0001-41;ACRUX LTDA;17/11/2008;ME;206-2;30.41-5-00;2340;06/05/2024;Fabricação de aeronaves;INDÚSTRIAS DE TRANSFORMAÇÃO;C;30;30.4;SP
EED;13.941.765/0001-78;ACTIPLUS EFICIENCIA EM ENERGIA LTDA;27/06/2011;DEMAIS;206-2;46.84-2-99;2340;06/05/2024;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";G;46;46.8;PR
EED;13.941.765/0001-78;ACTIPLUS EFICIENCIA EM ENERGIA LTDA;27/06/2011;DEMAIS;206-2;33.12-1-02;2340;06/05/2024;Manutenção e reparação de equipamentos eletrônicos e ópticos;INDÚSTRIAS DE TRANSFORMAÇÃO;C;33;33.1;PR
EED;13.941.765/0001-78;ACTIPLUS EFICIENCIA EM ENERGIA LTDA;27/06/2011;DEMAIS;206-2;74.90-1-99;2340;06/05/2024;Atividades profissionais, científicas e técnicas não especificadas anteriormente;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;M;74;74.9;PR
EED;09.811.654/0001-70;ACUMULADORES MOURA S A;25/03/1986;DEMAIS;205-4;27.22-8-01;2340;06/05/2024;Fabricação de baterias e acumuladores para veículos automotores;INDÚSTRIAS DE TRANSFORMAÇÃO;C;27;27.2;PE
